Year,Vehicle_Type,Vehicle_Class,Category,Registration_Count,YoY_Growth
2024,2W,MOPED,Category_2,377489,8.106351111
2025,2W,MOPED,Category_2,205462,-45.57139413
2022,2W,MOPED,Category_3,0,
2023,2W,MOPED,Category_3,0,
2024,2W,MOPED,Category_3,0,
2025,2W,MOPED,Category_3,0,
2022,2W,MOPED,Category_4,357775,
2023,2W,MOPED,Category_4,349183,-2.401509328
2024,2W,MOPED,Category_4,377489,8.106351111
2025,2W,MOPED,Category_4,205462,-45.57139413
2022,4W,MOTOR CAB,Category_1,0,
2023,4W,MOTOR CAB,Category_1,0,
2024,4W,MOTOR CAB,Category_1,0,
2022,4W,MOTOR CAB,Category_2,4319,
2023,4W,MOTOR CAB,Category_2,450,-89.58092151
2024,4W,MOTOR CAB,Category_2,54,-88
2022,4W,MOTOR CAB,Category_3,0,
2023,4W,MOTOR CAB,Category_3,0,
2024,4W,MOTOR CAB,Category_3,0,
2022,4W,MOTOR CAB,Category_4,0,
2023,4W,MOTOR CAB,Category_4,0,
2024,4W,MOTOR CAB,Category_4,0,
2022,4W,MOTOR CAB,Category_5,4319,
2023,4W,MOTOR CAB,Category_5,450,-89.58092151
2024,4W,MOTOR CAB,Category_5,54,-88
2022,4W,MOTOR CAR,Category_1,0,
2023,4W,MOTOR CAR,Category_1,0,
2024,4W,MOTOR CAR,Category_1,0,
2025,4W,MOTOR CAR,Category_1,0,
2022,4W,MOTOR CAR,Category_2,3336153,
2023,4W,MOTOR CAR,Category_2,3591440,7.652137057
2024,4W,MOTOR CAR,Category_2,3739539,4.123666273
2025,4W,MOTOR CAR,Category_2,2298441,-38.53678221
2022,4W,MOTOR CAR,Category_3,0,
2023,4W,MOTOR CAR,Category_3,0,
2024,4W,MOTOR CAR,Category_3,0,
2025,4W,MOTOR CAR,Category_3,0,
2022,4W,MOTOR CAR,Category_4,0,
2023,4W,MOTOR CAR,Category_4,0,
2024,4W,MOTOR CAR,Category_4,0,
2025,4W,MOTOR CAR,Category_4,0,
2022,4W,MOTOR CAR,Category_5,3336153,
2023,4W,MOTOR CAR,Category_5,3591440,7.652137057
2024,4W,MOTOR CAR,Category_5,3739539,4.123666273
2025,4W,MOTOR CAR,Category_5,2298441,-38.53678221
2022,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_1,0,
2023,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_1,0,
2024,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_1,0,
2025,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_1,0,
2022,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_2,0,
2023,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_2,0,
2024,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_2,0,
2025,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_2,0,
2022,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_3,206,
2023,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_3,100,-51.45631068
2024,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_3,111,11
2025,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_3,52,-53.15315315
2022,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_4,206,
2023,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_4,100,-51.45631068
2024,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_4,111,11
2025,2W,MOTOR CYCLE/SCOOTER-SIDECAR(T),Category_4,52,-53.15315315
2022,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_1,0,
2023,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_1,0,
2024,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_1,0,
2025,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_1,0,
2022,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_2,0,
2023,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_2,0,
2024,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_2,0,
2025,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_2,0,
2022,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_3,18781,
2023,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_3,16293,-13.24743091
2024,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_3,19340,18.70128276
2025,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_3,10276,-46.86659772
2022,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_4,18781,
2023,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_4,16293,-13.24743091
2024,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_4,19340,18.70128276
2025,2W,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Category_4,10276,-46.86659772
2022,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_1,0,
2023,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_1,0,
2024,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_1,0,
2022,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_2,0,
2023,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_2,0,
2024,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_2,0,
2022,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_3,2,
2023,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_3,41,1950
2024,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_3,30,-26.82926829
2022,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_4,2,
2023,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_4,41,1950
2024,2W,MOTOR CYCLE/SCOOTER-WITH TRAILER,Category_4,30,-26.82926829
2022,2W,MOTORISED CYCLE (CC > 25CC),Category_1,0,
2023,2W,MOTORISED CYCLE (CC > 25CC),Category_1,0,
2024,2W,MOTORISED CYCLE (CC > 25CC),Category_1,0,
2025,2W,MOTORISED CYCLE (CC > 25CC),Category_1,0,
2022,2W,MOTORISED CYCLE (CC > 25CC),Category_2,217822,
2023,2W,MOTORISED CYCLE (CC > 25CC),Category_2,210057,-3.564837344
2024,2W,MOTORISED CYCLE (CC > 25CC),Category_2,188810,-10.11487358
2025,2W,MOTORISED CYCLE (CC > 25CC),Category_2,89242,-52.73449499
2022,2W,MOTORISED CYCLE (CC > 25CC),Category_3,0,
2023,2W,MOTORISED CYCLE (CC > 25CC),Category_3,0,
2024,2W,MOTORISED CYCLE (CC > 25CC),Category_3,0,
2025,2W,MOTORISED CYCLE (CC > 25CC),Category_3,0,
2022,2W,MOTORISED CYCLE (CC > 25CC),Category_4,217822,
2023,2W,MOTORISED CYCLE (CC > 25CC),Category_4,210057,-3.564837344
2024,2W,MOTORISED CYCLE (CC > 25CC),Category_4,188810,-10.11487358
2025,2W,MOTORISED CYCLE (CC > 25CC),Category_4,89242,-52.73449499
2022,4W,OMNI BUS (PRIVATE USE),Category_1,0,
2023,4W,OMNI BUS (PRIVATE USE),Category_1,0,
2024,4W,OMNI BUS (PRIVATE USE),Category_1,0,
2025,4W,OMNI BUS (PRIVATE USE),Category_1,0,
2022,4W,OMNI BUS (PRIVATE USE),Category_2,3231,
2023,4W,OMNI BUS (PRIVATE USE),Category_2,5945,83.99876199
2024,4W,OMNI BUS (PRIVATE USE),Category_2,7115,19.6804037
2025,4W,OMNI BUS (PRIVATE USE),Category_2,5357,-24.70836261
2022,4W,OMNI BUS (PRIVATE USE),Category_3,21,
2023,4W,OMNI BUS (PRIVATE USE),Category_3,134,538.0952381
2024,4W,OMNI BUS (PRIVATE USE),Category_3,31,-76.86567164
2025,4W,OMNI BUS (PRIVATE USE),Category_3,53,70.96774194
2022,4W,OMNI BUS (PRIVATE USE),Category_4,9,
